cod_coord,iso3_coord,estatus_geo,lon,lat
238,FLK,UK Non-Self-Governing Territory,-58.75401077827428,-51.74755167708396
250,FRA,Member State,2.4515192187394645,46.746076688345696
583,FSM,Member State,158.22521502824097,6.88067704872266
266,GAB,Member State,11.783738030530609,-0.6232308120868264
826,GBR,Member State,-0.2396516495888534,52.27122620566988
268,GEO,Member State,43.36579913723156,42.05208380844162
288,GHA,Member State,-1.205425455540331,7.974915185499626
324,GIN,Member State,-11.283294504396872,11.004204940800872
270,GMB,Member State,-15.411038298637832,13.4517563327193
624,GNB,Member State,-14.40328756333911,12.117470692147824
226,GNQ,Member State,10.466087216151715,1.5661319226906665
300,GRC,Member State,22.597280827231387,39.51485894217516
308,GRD,Member State,-61.682481100739125,12.112404434795042
320,GTM,Member State,-91.2369194030997,15.006882396384903
254,GUF,FR Territory,-53.23484676825419,3.9288522289982066
328,GUY,Member State,-58.976563536317414,4.8003392003640535
344,HKG,CN Special Administrative Region,114.02664445952526,22.39798409953355
340,HND,Member State,-86.59462600310846,14.823472893773213
191,HRV,Member State,17.960146437543766,45.45301284741662
332,HTI,Member State,-73.04597214517027,18.325198139934837
348,HUN,Member State,19.42637143136006,47.17803861505627
360,IDN,Member State,113.65356465109237,-2.9658779624107083
356,IND,Member State,79.37732978413811,22.617786738245574
372,IRL,Member State,-7.121425271089207,53.266369325770796
364,IRN,Member State,54.219946682191505,32.763978929200086
368,IRQ,Member State,43.75999236419745,33.11578533571478
352,ISL,Member State,-19.02116966320101,64.82656600218476
376,ISR,Member State,34.62277992231785,31.06479366867429
380,ITA,Member State,12.56417626449035,42.81600595406042
388,JAM,Member State,-77.31089921424636,18.156431552930552
400,JOR,Member State,37.129107381344106,30.656160924269454
392,JPN,Member State,139.27161025997796,36.6675168592063
398,KAZ,Member State,67.29406746309557,48.44052837878035
404,KEN,Member State,37.8605261007416,0.5343685043846887
417,KGZ,Member State,74.56393482893608,41.48192452695153
116,KHM,Member State,104.92370347337021,12.717382246012154
296,KIR,Member State,-157.56430053720518,1.7688380709039173
659,KNA,Member State,-62.766297329507665,17.339958293217933
410,KOR,Member State,127.86210441828625,36.47105729762102
414,KWT,Member State,47.49315637023611,29.539689271962956
418,LAO,Member State,101.99019677231607,20.28982799162068
