cod_m49,iso3,name_en,name_es,subregion,region
508,MOZ,Mozambique,Mozambique,África Oriental,África
51,ARM,Armenia,Armenia,Asia Occidental,Asia
512,OMN,Oman,Omán,Asia Occidental,Asia
516,NAM,Namibia,Namibia,África Meridional,África
52,BRB,Barbados,Barbados,Caribe,América Latina y el Caribe
520,NRU,Nauru,Nauru,Micronesia,Oceanía
524,NPL,Nepal,Nepal,Asia Meridional,Asia
528,NLD,Netherlands,Países Bajos,Europa Occidental,Europa
548,VUT,Vanuatu,Vanuatu,Melanesia,Oceanía
554,NZL,New Zealand,Nueva Zelandia,Australia/Nueva Zelanda,Oceanía
558,NIC,Nicaragua,Nicaragua,América Central,América Latina y el Caribe
56,BEL,Belgium,Bélgica,Europa Occidental,Europa
562,NER,Niger,Níger,África Occidental,África
566,NGA,Nigeria,Nigeria,África Occidental,África
578,NOR,Norway,Noruega,Europa Septentrional,Europa
583,FSM,Micronesia,Micronesia,Micronesia,Oceanía
584,MHL,Marshall Islands,Islas Marshall,Micronesia,Oceanía
585,PLW,Palau,Palau,Micronesia,Oceanía
586,PAK,Pakistan,Pakistán,Asia Meridional,Asia
591,PAN,Panama,Panamá,América Central,América Latina y el Caribe
598,PNG,Papua New Guinea,Papua Nueva Guinea,Melanesia,Oceanía
600,PRY,Paraguay,Paraguay,América del Sur,América Latina y el Caribe
604,PER,Peru,Perú,América del Sur,América Latina y el Caribe
608,PHL,Philippines,Filipinas,Asia Sudoriental,Asia
616,POL,Poland,Polonia,Europa Oriental,Europa
620,PRT,Portugal,Portugal,Europa Meridional,Europa
624,GNB,Guinea-Bissau,Guinea-Bissau,África Occidental,África
626,TLS,Timor-Leste,Timor-Leste,Asia Sudoriental,Asia
630,PRI,Puerto Rico,Puerto Rico,Caribe,América Latina y el Caribe
634,QAT,Qatar,Qatar,Asia Occidental,Asia
64,BTN,Bhutan,Bhután,Asia Meridional,Asia
642,ROU,Romania,Rumania,Europa Oriental,Europa
643,RUS,Russia,Rusia,Europa Oriental,Europa
646,RWA,Rwanda,Rwanda,África Oriental,África
659,KNA,Saint Kitts and Nevis,Saint Kitts y Nevis,Caribe,América Latina y el Caribe
662,LCA,Saint Lucia,Santa Lucía,Caribe,América Latina y el Caribe
670,VCT,Saint Vincent and the Grenadines,San Vicente y las Granadinas,Caribe,América Latina y el Caribe
674,SMR,San Marino,San Marino,Europa Meridional,Europa
678,STP,Sao Tome and Principe,Santo Tomé y Príncipe,África Central,África
68,BOL,Bolivia,Bolivia,América del Sur,América Latina y el Caribe
682,SAU,Saudi Arabia,Arabia Saudita,Asia Occidental,Asia
686,SEN,Senegal,Senegal,África Occidental,África
688,SRB,Serbia,Serbia,Europa Meridional,Europa
690,SYC,Seychelles,Seychelles,África Oriental,África
694,SLE,Sierra Leone,Sierra Leona,África Occidental,África
70,BIH,Bosnia and Herzegovina,Bosnia y Herzegovina,Europa Meridional,Europa
702,SGP,Singapore,Singapur,Asia Sudoriental,Asia
703,SVK,Slovakia,Eslovaquia,Europa Oriental,Europa
704,VNM,Viet Nam,Vietnam,Asia Sudoriental,Asia
705,SVN,Slovenia,Eslovenia,Europa Meridional,Europa
706,SOM,Somalia,Somalia,África Oriental,África
710,ZAF,South Africa,Sudáfrica,África Meridional,África
716,ZWE,Zimbabwe,Zimbabwe,África Oriental,África
72,BWA,Botswana,Botswana,África Meridional,África
724,ESP,Spain,España,Europa Meridional,Europa
728,SSD,South Sudan,Sudán del Sur,África Oriental,África
729,SDN,Sudan,Sudán,África Septentrional,África
732,ESH,Western Sahara,Sahara Occidental,África Septentrional,África
740,SUR,Suriname,Suriname,América del Sur,América Latina y el Caribe
748,SWZ,Eswatini,Eswatini,África Meridional,África
752,SWE,Sweden,Suecia,Europa Septentrional,Europa
756,CHE,Switzerland,Suiza,Europa Occidental,Europa
76,BRA,Brazil,Brasil,América del Sur,América Latina y el Caribe
760,SYR,Syrian Arab Republic,República Árabe Siria,Asia Occidental,Asia
762,TJK,Tajikistan,Tayikistán,Asia Central,Asia
764,THA,Thailand,Tailandia,Asia Sudoriental,Asia
768,TGO,Togo,Togo,África Occidental,África
776,TON,Tonga,Tonga,Polinesia,Oceanía
780,TTO,Trinidad and Tobago,Trinidad y Tabago,Caribe,América Latina y el Caribe
784,ARE,United Arab Emirates,Emiratos Árabes Unidos,Asia Occidental,Asia
788,TUN,Tunisia,Túnez,África Septentrional,África
792,TUR,Türkiye,Turquía,Asia Occidental,Asia
795,TKM,Turkmenistan,Turkmenistán,Asia Central,Asia
798,TUV,Tuvalu,Tuvalu,Polinesia,Oceanía
8,ALB,Albania,Albania,Europa Meridional,Europa
800,UGA,Uganda,Uganda,África Oriental,África
804,UKR,Ukraine,Ucrania,Europa Oriental,Europa
807,MKD,North Macedonia,Macedonia del Norte,Europa Meridional,Europa
818,EGY,Egypt,Egipto,África Septentrional,África
826,GBR,Great Britain,Reino Unido,Europa Septentrional,Europa
834,TZA,Tanzania,Tanzanía,África Oriental,África
84,BLZ,Belize,Belice,América Central,América Latina y el Caribe
840,USA,United States,Estados Unidos,América del Norte,América del Norte
854,BFA,Burkina Faso,Burkina Faso,África Occidental,África
858,URY,Uruguay,Uruguay,América del Sur,América Latina y el Caribe
860,UZB,Uzbekistan,Uzbekistán,Asia Central,Asia
862,VEN,Venezuela,Venezuela,América del Sur,América Latina y el Caribe
882,WSM,Samoa,Samoa,Polinesia,Oceanía
887,YEM,Yemen,Yemen,Asia Occidental,Asia
894,ZMB,Zambia,Zambia,África Oriental,África
90,SLB,Solomon Islands,Islas Salomón,Melanesia,Oceanía
96,BRN,Brunei Darussalam,Brunei Darussalam,Asia Sudoriental,Asia
5501,5501,Southern Asia,Asia Meridional,,Asia
906,906,Eastern Asia,Asia Oriental,,Asia
920,920,South-Eastern Asia,Asia Sudoriental,,Asia
910,910,Eastern Africa,África Oriental,,África
914,914,Western Africa,África Occidental,,África
931,931,South America,América del Sur,,América Latina y el Caribe
922,922,Western Asia,Asia Occidental,,Asia
923,923,Eastern Europe,Europa Oriental,,Europa
912,912,Northern Africa,África Septentrional,,África
911,911,Middle Africa,África Central,,África
926,926,Western Europe,Europa Occidental,,Europa
916,916,Central America,América Central,,América Latina y el Caribe
925,925,Southern Europe,Europa Meridional,,Europa
924,924,Northern Europe,Europa Septentrional,,Europa
5500,5500,Central Asia,Asia Central,,Asia
913,913,Southern Africa,África Meridional,,África
915,915,Caribbean,Caribe,,América Latina y el Caribe
927,927,Australia/New Zealand,Australia/Nueva Zelanda,,Oceanía
928,928,Melanesia,Melanesia,,Oceanía
957,957,Polynesia,Polinesia,,Oceanía
954,954,Micronesia,Micronesia,,Oceanía
