iso3_econ,año,pct_desempleo,pbi_pc_ppa,inflacion,gini,hdi
CZE,2024,2.6,57285.4237001379,2.43531202435314,,
DEU,1990,,19467.8150314767,2.69646824292392,,0.834
DEU,1995,8.158,23630.5518935199,1.70616041317076,28.8,0.87
DEU,2000,7.917,27473.6669767024,1.44026838719741,28.9,0.897
DEU,2005,11.193,32313.736788417,1.54691114751328,31.7,0.923
DEU,2010,7.043,39726.098692395,1.1038103778926,30.2,0.936
DEU,2015,4.612,48545.400721962,0.514426137125456,31.7,0.948
DEU,2020,3.881,58685.872699771,0.144877925813982,32.4,0.955
DEU,2024,3.4,73551.9347696836,2.2564981433876,,
DJI,1990,,,,,
DJI,1995,27.303,,,,0.318
DJI,2000,26.664,,,,0.337
DJI,2005,26.448,,3.10496640148298,,0.375
DJI,2010,26.368,,3.95007875923885,,0.421
DJI,2015,26.063,4263.96288890455,-0.847389733971996,,0.469
DJI,2020,27.701,5527.00185229888,1.7774078380617,,0.499
DJI,2024,26.007,7810.27869066792,2.07655387954199,,
DMA,1990,,4667.43499739096,3.19092323226821,,
DMA,1995,,5749.09715748776,1.3175374577497,,
DMA,2000,,7111.4131102869,0.856946805358483,,0.721
DMA,2005,,8557.41594949633,1.68190079877553,,0.732
DMA,2010,,10924.0953245506,2.99936630549,,0.747
DMA,2015,,12092.7315992676,-0.84382698463833,,0.741
DMA,2020,,14243.7623123898,1.22026442242476,,0.753
DMA,2024,,21300.6848698089,2.56921890367726,,
DNK,1990,,18225.4764138002,2.64160306382,,0.844
DNK,1995,6.992,22676.5211131952,2.08360842382846,23.0,0.862
DNK,2000,4.476,28647.8282830783,2.90328203236453,23.8,0.896
DNK,2005,4.83,34238.3218147437,1.81781458291254,25.2,0.917
DNK,2010,7.746,43037.5989192487,2.31092436974789,27.2,0.92
DNK,2015,6.278,48897.2099776611,0.452034153691575,28.2,0.943
DNK,2020,5.644,62682.2899474389,0.420711974110115,27.5,0.954
DNK,2024,5.358,81878.2349849181,1.37220049768918,,
DOM,1990,,3640.93767379126,50.4624792378524,,0.589
DOM,1995,6.439,4870.86165430794,12.5359594558963,,0.624
DOM,2000,6.432,6639.01131864822,7.72413566181616,51.5,0.658
DOM,2005,6.587,8215.03244576661,4.19020260472056,50.0,0.683
DOM,2010,5.212,11245.6811892201,6.32993220146146,47.3,0.715
DOM,2015,7.605,14804.0974069659,0.836746346724557,45.2,0.747
DOM,2020,6.126,18998.3069667315,3.78103179915517,39.6,0.767
DOM,2024,5.312,27541.6625283384,3.30223338951227,39.0,
DZA,1990,,7602.18725687265,16.6525343885432,,0.595
DZA,1995,31.84,7746.71683892991,29.7796264864999,35.3,0.608
DZA,2000,29.77,9186.81590342899,0.339163189071768,,0.651
DZA,2005,15.27,12246.2692243613,1.38244656662118,,0.692
DZA,2010,9.96,14201.3659906969,3.91106195534028,,0.718
DZA,2015,11.206,13807.3515841478,4.78444700693889,,0.737
DZA,2020,14.08,12676.5130564294,2.41513094083414,,0.742
DZA,2024,11.655,17620.7423956126,4.04611455313434,,
ECU,1990,,4631.5532583624,48.5191129963729,,0.646
ECU,1995,4.408,5469.14843537312,22.9341344145802,50.8,0.672
ECU,2000,4.8,5728.25249857133,96.0963756926096,56.3,0.683
ECU,2005,3.779,7457.46553606564,2.1682770118372,53.1,0.714
ECU,2010,4.088,8968.94040838943,3.55437734567843,48.8,0.737
ECU,2015,3.616,10877.7507461388,3.96664623255358,46.0,0.764
ECU,2020,6.116,11526.8013009278,-0.338872392562139,47.3,0.74
ECU,2024,3.453,15840.2668567412,1.54732515615369,45.2,
EGY,1990,,3566.03456540498,16.7563747077691,32.0,0.572
EGY,1995,11.04,4234.71346852449,15.7422305021596,30.1,0.609
EGY,2000,8.98,5451.51566992118,2.68380535348546,,0.639
EGY,2005,11.049,6554.12885095179,4.86939696871988,,0.648
EGY,2010,8.757,8837.76450033703,11.2651882653185,30.2,0.677
EGY,2015,13.052,10903.3368231185,10.370490343517,31.8,0.706
EGY,2020,7.974,15231.865417764,5.04493288977539,,0.736
EGY,2024,6.817,19094.1449444111,28.2705899322083,,
ERI,1990,,,,,
ERI,1995,5.349,1368.77876285653,,,
ERI,2000,5.656,1557.87580231581,,,
ERI,2005,5.721,1674.07005453978,,,0.474
ERI,2010,5.854,1599.19106106457,,,0.465
ERI,2015,5.751,,,,0.48
ERI,2020,6.375,,,,0.495
ERI,2024,5.947,,,,
ESH,1990,,,,,
ESH,1995,,,,,
ESH,2000,,,,,
ESH,2005,,,,,
ESH,2010,,,,,
ESH,2015,,,,,
ESH,2020,,,,,
ESH,2024,,,,,
ESP,1990,,13675.6055336815,6.72181952228657,32.0,0.766
ESP,1995,22.675,16275.8548504628,4.67380337624704,35.7,0.804
ESP,2000,13.785,21582.2067955558,3.43351563418767,34.1,0.833
ESP,2005,9.146,27629.7077024966,3.36881409750383,32.4,0.857
ESP,2010,19.86,31804.6746571689,1.79986457728769,35.2,0.875
