iso3_econ,año,pct_desempleo,pbi_pc_ppa,inflacion,gini,hdi
ESP,2015,22.057,35228.6333036223,-0.500365709903242,36.2,0.895
ESP,2020,15.532,39327.8479269599,-0.322753017299739,34.9,0.901
ESP,2024,11.4,57965.2948138837,2.77417826534772,,
EST,1990,,7480.8983405163,,,0.738
EST,1995,9.659,6479.67745901232,28.7766137208514,30.1,0.725
EST,2000,13.36,9424.5071547444,4.01848952508763,35.8,0.793
EST,2005,8.033,16638.0779749397,4.07971423199849,33.4,0.847
EST,2010,16.707,21614.3068307361,2.97204512015694,32.0,0.868
EST,2015,6.412,29712.6299473728,-0.49232600654737,32.7,0.888
EST,2020,6.956,40672.1340402132,-0.44453109767983,30.7,0.901
EST,2024,7.6,49968.7108278373,3.52056053296586,,
ETH,1990,,417.026578466478,5.15248124174767,,
ETH,1995,3.005,409.294333195293,10.0221733553239,44.6,
ETH,2000,3.499,473.903313482073,0.662458109266482,,0.293
ETH,2005,2.497,624.510692425695,9.96997123512892,,0.35
ETH,2010,2.295,995.653978578747,8.14926402965082,33.2,0.415
ETH,2015,2.442,1632.61818006837,9.56889955968623,35.0,0.456
ETH,2020,3.998,2406.78938478669,20.3563468559061,,0.486
ETH,2024,3.357,3287.53492158893,21.0377460577711,,
