,año,semilla,resolucion,modularidad,num_comunidades
137,1990,31,1.7,0.5324685659540809,20
138,1990,31,2.0,0.5032787341863841,22
139,1990,31,2.3,0.4768024341029681,22
140,1990,31,2.5,0.4654843819780811,22
141,1990,31,2.7,0.45213526318512903,24
142,1990,31,3.0,0.43673115596344775,25
143,1990,37,0.2,0.8655285019633432,9
144,1990,37,0.3,0.822721215310279,10
145,1990,37,0.5,0.7496693960278367,10
146,1990,37,0.7,0.6891890887336501,13
147,1990,37,1.0,0.6289203123258318,14
148,1990,37,1.3,0.5887380205589389,16
149,1990,37,1.5,0.563209955139397,19
150,1990,37,1.7,0.5430290203573765,20
151,1990,37,2.0,0.5099713562109466,21
152,1990,37,2.3,0.4938112059352285,22
153,1990,37,2.5,0.4754860839518909,23
154,1990,37,2.7,0.4610925428703113,24
155,1990,37,3.0,0.4351978544160243,26
156,1990,41,0.2,0.8649715620256104,8
157,1990,41,0.3,0.8227212153102791,10
158,1990,41,0.5,0.7499750855770627,11
159,1990,41,0.7,0.6720034882093164,14
160,1990,41,1.0,0.6289058334688779,13
161,1990,41,1.3,0.5873088614877718,16
162,1990,41,1.5,0.5639399364579232,18
163,1990,41,1.7,0.5455811760703919,20
164,1990,41,2.0,0.5148220160588282,22
165,1990,41,2.3,0.49006120756953764,21
166,1990,41,2.5,0.4749803849718964,23
167,1990,41,2.7,0.45852845574443835,24
168,1990,41,3.0,0.4396460677595156,25
169,1990,43,0.2,0.8649715620256104,8
170,1990,43,0.3,0.8227212153102791,10
171,1990,43,0.5,0.7499985440878595,11
172,1990,43,0.7,0.6857890009713756,13
173,1990,43,1.0,0.6242408074183438,14
174,1990,43,1.3,0.5887380205589389,16
175,1990,43,1.5,0.5628972672429525,17
176,1990,43,1.7,0.5419108979738098,18
177,1990,43,2.0,0.5187016572771622,21
178,1990,43,2.3,0.4845729988019527,22
179,1990,43,2.5,0.4737349216251662,23
180,1990,43,2.7,0.4604239434876342,25
181,1990,43,3.0,0.43714050363194396,27
182,1990,47,0.2,0.8655254849699335,8
183,1990,47,0.3,0.8227560474581087,9
184,1990,47,0.5,0.7499985440878593,11
185,1990,47,0.7,0.6866534190285944,12
186,1990,47,1.0,0.6221752945534194,15
187,1990,47,1.3,0.5822145748502964,16
188,1990,47,1.5,0.5595430798753107,18
189,1990,47,1.7,0.5454334642640764,19
190,1990,47,2.0,0.51603202928631,21
191,1990,47,2.3,0.4867878290431567,23
192,1990,47,2.5,0.47259079282558764,24
193,1990,47,2.7,0.45820867711144564,23
194,1990,47,3.0,0.4387459928384652,26
195,1990,53,0.2,0.8649715620256103,8
196,1990,53,0.3,0.8227212153102791,10
197,1990,53,0.5,0.7499985440878594,11
198,1990,53,0.7,0.6919851883765681,13
199,1990,53,1.0,0.6325740221229468,14
200,1990,53,1.3,0.5903335910551586,17
201,1990,53,1.5,0.5642275716416757,17
202,1990,53,1.7,0.5443078100562819,17
203,1990,53,2.0,0.5148663332376894,19
204,1990,53,2.3,0.48457299880195276,22
205,1990,53,2.5,0.4722459362458633,23
206,1990,53,2.7,0.4606965258461381,23
207,1990,53,3.0,0.43974312667269144,25
208,1990,59,0.2,0.865506427584176,8
209,1990,59,0.3,0.8226875378807306,9
210,1990,59,0.5,0.7499985440878594,11
211,1990,59,0.7,0.6879042140804532,14
212,1990,59,1.0,0.6201144155831735,15
213,1990,59,1.3,0.5804518693947684,15
214,1990,59,1.5,0.5581054517798083,17
215,1990,59,1.7,0.5385440756564461,18
216,1990,59,2.0,0.5085913487425355,21
217,1990,59,2.3,0.4785728735389935,22
218,1990,59,2.5,0.4639661553620118,23
219,1990,59,2.7,0.45186586893085917,25
220,1990,59,3.0,0.43120443694163507,25
221,1990,61,0.2,0.8649715620256099,8
222,1990,61,0.3,0.8227212153102791,10
223,1990,61,0.5,0.7499796494746308,12
224,1990,61,0.7,0.6879042140804532,14
225,1990,61,1.0,0.6194363366596303,15
226,1990,61,1.3,0.5856749419229115,16
227,1990,61,1.5,0.5648047404971824,17
228,1990,61,1.7,0.5457036352900312,19
229,1990,61,2.0,0.51603202928631,21
230,1990,61,2.3,0.4867878290431567,23
231,1990,61,2.5,0.47259079282558775,24
232,1990,61,2.7,0.4588692419671735,25
233,1990,61,3.0,0.4402158843635381,26
234,1990,67,0.2,0.8653598342869461,8
235,1990,67,0.3,0.8227560474581087,9
236,1990,67,0.5,0.7499985440878594,11
237,1990,67,0.7,0.6843483210630391,12
238,1990,67,1.0,0.6204728195704214,16
239,1990,67,1.3,0.5864252254241615,16
240,1990,67,1.5,0.5657362904729135,17
241,1990,67,1.7,0.5410658555516726,18
242,1990,67,2.0,0.5130692507090504,20
243,1990,67,2.3,0.4885883443303442,21
244,1990,67,2.5,0.47334747709878594,22
245,1990,67,2.7,0.4588692419671735,25
246,1990,67,3.0,0.44103658741923174,25
247,1990,71,0.2,0.8649715620256104,8
